year,city,country,avg_temp
1989,Istanbul,Turkey,13.90
1990,Istanbul,Turkey,14.01
1991,Istanbul,Turkey,13.21
1992,Istanbul,Turkey,13.01
1993,Istanbul,Turkey,13.32
1994,Istanbul,Turkey,14.88
1995,Istanbul,Turkey,14.14
1996,Istanbul,Turkey,13.77
1997,Istanbul,Turkey,13.16
1998,Istanbul,Turkey,14.48
1999,Istanbul,Turkey,15.00
2000,Istanbul,Turkey,14.29
2001,Istanbul,Turkey,15.11
2002,Istanbul,Turkey,14.51
2003,Istanbul,Turkey,13.91
2004,Istanbul,Turkey,14.23
2005,Istanbul,Turkey,14.23
2006,Istanbul,Turkey,14.11
2007,Istanbul,Turkey,14.98
2008,Istanbul,Turkey,14.91
2009,Istanbul,Turkey,14.95
2010,Istanbul,Turkey,15.60
2011,Istanbul,Turkey,13.65
2012,Istanbul,Turkey,14.97
2013,Istanbul,Turkey,16.02
